"ID-Nome;Sexo;Cidade/Estado;Nascimento;Data de adesão;Tipo;Ultima_compra;Forma_Pagamento;Valor_Gasto"
"1-Camila Ribeiro;Feminino;Presidente Médici/RO;12/05/1995;05/08/2022;A;24/08/2022;PARCELADO;5150"
"2-Nathan Sales;Masculino;Candeias do Jamari/RO;04/07/1986;28/07/2022;C;11/08/2022;BOLETO;1620"
"3-Renata Carvalho;Feminino;Cujubim/RO;13/01/1968;25/07/2022;B;07/08/2022;CARTÃO DE CRÉDITO;789"
"4-Bianca Barbosa;Feminino;Santa Luzia D'Oeste/RO;13/06/1960;06/07/2022;C;29/07/2022;BOLETO;1048"
"5-Daniel Sales;Masculino;Cujubim/RO;15/10/1958;25/07/2022;C;13/09/2022;CARTÃO DE CRÉDITO;3803"
"6-Manuela Barbosa;Feminino;São Francisco do Guaporé/RO;31/12/1965;27/08/2022;;13/09/2022;PARCELADO;5150"
"7-Miguel Machado;Masculino;Monte Negro/RO;18/09/1976;30/07/2022;C;05/09/2022;BOLETO;3180"
"8-Carolina Azevedo;Feminino;Rio Crespo/RO;23/05/1995;18/08/2022;C;29/08/2022;PIX;3803"
"9-Pietro Castro;Masculino;Castanheiras/RO;23/10/1982;16/07/2022;C;12/09/2022;CARTÃO DE CRÉDITO;1048"
"10-João Lucas Sales;Masculino;Alta Floresta D'Oeste/RO;17/02/1972;16/07/2022;C;22/08/2022;CARTÃO DE CRÉDITO;3180"
"11-Beatriz Souza;Feminino;Primavera de Rondônia/RO;06/06/1967;10/07/2022;;02/08/2022;PARCELADO;7480"
"12-Raul Rezende;Masculino;Governador Jorge Teixeira/RO;19/05/1966;25/07/2022;;21/09/2022;PARCELADO;4618"
"13-Felipe Castro;Masculino;Ariquemes/RO;06/10/1977;19/08/2022;B;23/09/2022;PARCELADO;8899"
"14-Raquel Duarte;Feminino;Vale do Paraíso/RO;05/10/1959;19/07/2022;C;11/08/2022;PARCELADO;2622"
"15-Ana Ramos;Feminino;Rolim de Moura/RO;07/06/1994;19/07/2022;C;04/09/2022;PARCELADO;1182"
"16-Joaquim Azevedo;Masculino;Nova União/RO;27/05/1961;09/08/2022;C;18/08/2022;CARTÃO DE DÉBITO;3180"
